Sched,Run,ueNum,agregate_throughput,average_throughput
MR,1,5,23.779893,4.755979
MR,1,10,24.46624,2.446624
MR,1,15,0,0.0
MR,1,20,0,0.0
MR,2,5,24.425868,4.885173
MR,2,10,22.28608,2.228608
MR,2,15,0,0.0
MR,2,20,0,0.0
MR,3,5,23.779893,4.755979
MR,3,10,23.779893,2.377989
MR,3,15,0,0.0
MR,3,20,0,0.0
PF,1,5,22.326453,4.465291
PF,1,10,22.770562,2.277056
PF,1,15,0,0.0
PF,1,20,0,0.0
PF,2,5,23.981759,4.796352
PF,2,10,21.07488,2.107488
PF,2,15,0,0.0
PF,2,20,0,0.0
PF,3,5,20.792266,4.158453
PF,3,10,12.919464,1.291947
PF,3,15,0,0.0
PF,3,20,0,0.0
Qos,1,5,22.043840000000003,4.408768
Qos,1,10,23.335784,2.333579
Qos,1,15,0,0.0
Qos,1,20,0,0.0
Qos,2,5,24.143253,4.828651
Qos,2,10,21.074878000000002,2.107488
Qos,2,15,0,0.0
Qos,2,20,0,0.0
Qos,3,5,21.195999999999998,4.2392
Qos,3,10,14.776639,1.477664
Qos,3,15,0,0.0
Qos,3,20,0,0.0
RR,1,5,22.568693999999997,4.513739
RR,1,10,7.8728,0.78728
RR,1,15,0,0.0
RR,1,20,0,0.0
RR,2,5,23.860641,4.772128
RR,2,10,6.863467,0.686347
RR,2,15,0,0.0
RR,2,20,0,0.0
RR,3,5,20.550027,4.110005
RR,3,10,7.1460799999999995,0.714608
RR,3,15,0,0.0
RR,3,20,0,0.0
