Sched,Run,flow1_througput,flow1_delay,flow2_througput,flow2_delay,flow3_througput,flow3_delay,agregate_throughput
MR,1,24.209067,0,12.810514,0,12.810514,0,49.830095
MR,2,24.209067,0,12.810514,0,12.810514,0,49.830095
MR,3,24.209067,0,12.812173,0,12.812173,0,49.833413
PF,1,24.209067,0,12.783967,0,12.783967,0,49.777001
PF,2,24.209067,0,12.783967,0,12.783967,0,49.777001
PF,3,24.209067,0,12.785626,0,12.785626,0,49.780319
Qos,1,0.32354,0,24.207408,0,24.207408,0,48.738356
Qos,2,0.32354,0,24.207408,0,24.207408,0,48.738356
Qos,3,0.32354,0,24.209067,0,24.209067,0,48.741674
RR,1,24.209067,0,12.810514,0,12.810514,0,49.830095
RR,2,24.209067,0,12.810514,0,12.810514,0,49.830095
RR,3,24.209067,0,12.812173,0,12.812173,0,49.833413
